gene_id,score
Os12g0212300,99.99797
Os09g0439000,99.99797
Os06g0693900,99.99797
Os04g0618600,99.99796
Os05g0304000,99.99796
Os09g0503400,99.99795
Os08g0342700,99.99795
Os11g0249900,99.99795
Os10g0506300,99.99795
Os01g0601700,99.99795
Os08g0519700,99.99795
Os12g0222800,99.99794
Os04g0544000,99.99794
Os05g0210400,99.99794
Os01g0358800,99.99794
Os12g0411500,99.99794
Os11g0291000,99.99794
Os01g0522400,99.99794
Os08g0519750,99.99794
Os03g0794200,99.99794
Os01g0152950,99.99794
Os07g0609700,99.99794
Os01g0799000,99.99793
Os03g0708700,99.99793
Os01g0152200,99.99793
Os04g0259100,99.99793
Os01g0152100,99.99793
Os03g0365000,99.997925
Os06g0550000,99.997925
Os01g0763100,99.99792
Os10g0375400,99.9979
Os08g0176633,99.9979
Os07g0187300,99.9979
Os03g0794300,99.9979
Os01g0601950,99.9979
Os07g0649300,99.9979
Os02g0137450,99.9979
Os03g0602600,99.997894
Os06g0242600,99.997894
Os02g0153400,99.997894
Os02g0157501,99.997894
Os08g0266400,99.997894
Os06g0166100,99.99789
Os01g0502900,99.99789
Os08g0148100,99.99789
Os04g0631100,99.99788
Os11g0552200,99.99788
Os10g0120300,99.99788
Os05g0303133,99.99788
Os01g0556800,99.99788
Os01g0160700,99.99788
Os06g0691800,99.99788
Os06g0136600,99.99788
Os10g0432200,99.99787
Os08g0128300,99.99787
Os01g0904500,99.99787
Os08g0493800,99.997856
Os10g0394100,99.997856
Os09g0521700,99.99785
Os04g0409500,99.99785
Os05g0370300,99.99785
Os01g0515300,99.99785
Os07g0653900,99.99784
Os10g0399100,99.99784
Os02g0116700,99.99784
Os02g0553802,99.99783
Os11g0149250,99.99783
Os06g0106800,99.99783
Os07g0580700,99.9978
Os07g0580766,99.9978
Os05g0319900,99.9978
Os08g0542100,99.9978
Os05g0273650,99.9978
Os02g0688100,99.9978
Os07g0580733,99.9978
Os01g0176800,99.9978
Os02g0131400,99.9978
Os05g0296332,99.9978
Os02g0460000,99.9978
Os09g0481000,99.9978
Os06g0210200,99.9978
Os08g0332100,99.997795
Os05g0493133,99.997795
Os01g0132150,99.997795
Os12g0221000,99.997795
Os02g0175200,99.997795
Os01g0819400,99.99779
Os06g0339500,99.99779
Os02g0175301,99.99779
Os11g0590400,99.99779
Os05g0439100,99.99779
Os08g0378200,99.99779
Os03g0739300,99.99779
Os06g0630000,99.99779
Os11g0590100,99.99779
Os12g0196800,99.99777
Os11g0226400,99.99777
Os01g0162600,99.99777
Os04g0168000,99.99777
Os05g0562000,99.99777
Os03g0225750,99.99777
Os02g0488900,99.99777
Os02g0517900,99.99777
Os06g0669100,99.99777
Os11g0589401,99.99777
Os06g0186000,99.99777
Os09g0530500,99.99777
Os07g0227600,99.99777
Os01g0167000,99.99777
Os05g0485900,99.99777
Os02g0155650,99.99777
Os10g0506425,99.99777
Os01g0167600,99.99777
Os05g0471900,99.99777
Os12g0211500,99.99777
Os04g0339800,99.99777
Os05g0561800,99.99777
Os07g0516700,99.99777
Os08g0146701,99.997765
Os03g0644700,99.997765
Os05g0587000,99.997765
Os11g0269100,99.997765
Os03g0112600,99.99776
Os01g0607600,99.99775
Os07g0114400,99.99775
Os04g0506100,99.99775
Os08g0298500,99.99775
Os05g0298700,99.99775
Os11g0506150,99.99775
Os09g0343200,99.99774
Os11g0556866,99.99774
Os09g0445700,99.99774
Os05g0559000,99.99774
Os07g0562400,99.99774
Os08g0546900,99.99774
Os07g0651600,99.99773
Os01g0324400,99.99773
Os09g0452700,99.99773
Os07g0239000,99.99773
Os06g0166200,99.99773
Os01g0618900,99.99773
Os11g0560900,99.99773
Os07g0489650,99.99772
Os06g0638500,99.99772
